sudo dtruss -a ./test_pipe 512k  
	PID/THRD  RELATIVE  ELAPSD    CPU SYSCALL(args) 		 = return
 1762/0x8c5c:      1268      10     10 __mac_syscall(0x19581F652, 0x2, 0x16F96E0A0)		 = 0 0
 1762/0x8c5c:      1269       1      0 fcntl(0x3, 0x32, 0x16F96DD38)		 = 0 0
 1762/0x8c5c:      1270       0      0 close(0x3)		 = 0 0
 1762/0x8c5c:      1274       2      1 open("/Users/cole/Desktop/school/UWM_Fall_2025/warmup-2/Info.plist\0", 0x0, 0x0)		 = -1 Err#2
 1762/0x8c5c:      1284       1      0 proc_info(0x2, 0x6E2, 0xD)		 = 64 0
 1762/0x8c5c:      1296       2      1 csops_audittoken(0x6E2, 0x10, 0x16F96E0C0)		 = 0 0
 1762/0x8c5c:      1303       4      3 sysctl([unknown, 3, 0, 0, 0, 0] (2), 0x16F96E418, 0x16F96E410, 0x18D97AD3D, 0x15)		 = 0 0
 1762/0x8c5c:      1304       1      0 sysctl([CTL_KERN, 138, 0, 0, 0, 0] (2), 0x16F96E4A8, 0x16F96E4A0, 0x0, 0x0)		 = 0 0
 1762/0x8c5c:      1306       1      0 csops(0x6E2, 0x0, 0x16F96E54C)		 = 0 0
 1762/0x8c5c:      1311       1      0 mprotect(0x1008A4000, 0x40000, 0x3)		 = 0 0
 1762/0x8c5c:      1370      29      6 pipe(0x0, 0x0, 0x0)		 = 3 0
 1762/0x8c5c:      6952     251    250 fork()		 = 1763 0
 1763/0x8c61:        30:      0:     0 fork()		 = 0 0
 1762/0x8c5c:      6996       1      0 close(0x4)		 = 0 0
 1763/0x8c61:        31      24      0 thread_selfid(0x0, 0x0, 0x0)		 = 35937 0
 1763/0x8c61:        32       1      0 bsdthread_register(0x18A548D2C, 0x18A548D20, 0x4000)		 = -1 Err#22
 1763/0x8c61:        34       2      1 mprotect(0x100930000, 0xA0, 0x3)		 = 0 0
 1763/0x8c61:        38       1      0 mprotect(0x100930000, 0xA0, 0x1)		 = 0 0
 1763/0x8c61:       142       1      0 close(0x3)		 = 0 0
 1762/0x8c5c:      7030     178     32 read(0x3, "...", 0x80000)		 = 65536 0
 1762/0x8c5c:      7034       3      2 read(0x3, "...", 0x80000)		 = 65536 0
 1762/0x8c5c:      7036       3      2 read(0x3, "...", 0x80000)		 = 65536 0
 1762/0x8c5c:      7039       2      2 read(0x3, "...", 0x80000)		 = 65536 0
 1762/0x8c5c:      7042       3      2 read(0x3, "...", 0x80000)		 = 65536 0
 1762/0x8c5c:      7045       3      2 read(0x3, "...", 0x80000)		 = 65536 0
 1762/0x8c5c:      7047       2      2 read(0x3, "...", 0x80000)		 = 65536 0
 1763/0x8c61:       205     147     61 write(0x4, "...", 0x80000)		 = 524288 0
 1762/0x8c5c:      7050       3      2 read(0x3, "...", 0x80000)		 = 65536 0
 1763/0x8c61:       206       1      0 getpid(0x0, 0x0, 0x0)		 = 1763 0
 1763/0x8c61:       208       1      0 getrlimit(0x1008, 0x16F96F418, 0x0)		 = 0 0
 1763/0x8c61:       210       2      1 fstat64(0x1, 0x16F96F410, 0x0)		 = 0 0
 1763/0x8c61:       211       0      0 ioctl(0x1, 0x4004667A, 0x16F96F45C)		 = 0 0
 1763/0x8c61:       221       3      2 write_nocancel(0x1, "Parent (1763): Time to write 524288 bytes 181583 nanoseconds\n", 0x3D)		 = 61 0
 1763/0x8c61:       223       2      1 close(0x4)		 = 0 0
 1762/0x8c5c:      7052      64      2 read(0x3, "...", 0x80000)		 = 0 0
 1762/0x8c5c:      7057       1      0 getrlimit(0x1008, 0x16F96F418, 0x0)		 = 0 0
 1762/0x8c5c:      7059       2      1 fstat64(0x1, 0x16F96F410, 0x0)		 = 0 0
 1762/0x8c5c:      7063       1      0 ioctl(0x1, 0x4004667A, 0x16F96F45C)		 = 0 0
 1762/0x8c5c:      7070       3      2 write_nocancel(0x1, "Child  (1762): Time to read 524288 bytes 383208 nanoseconds\n", 0x3C)		 = 60 0
 1762/0x8c5c:      7075       4      4 close(0x3)		 = 0 0

CALL                                        COUNT
crossarch_trap                                  1
csops                                           1
csops_audittoken                                1
fgetattrlist                                    1
fork                                            1
fstatat64                                       1
getentropy                                      1
issetugid                                       1
map_with_linking_np                             1
objc_bp_assist_cfg_np                           1
pipe                                            1
proc_info                                       1
shm_open                                        1
thread_selfid                                   1
write                                           1
access                                          2
bsdthread_register                              2
exit                                            2
getattrlist                                     2
getfsstat64                                     2
getpid                                          2
getrlimit                                       2
mmap                                            2
openat                                          2
shared_region_check_np                          2
write_nocancel                                  2
csrctl                                          3
dup                                             3
fsgetpath                                       3
fstat64                                         4
ioctl                                           4
sysctl                                          4
__mac_syscall                                   5
fcntl                                           5
munmap                                          6
open                                            7
read                                            9
stat64                                         11
close                                          16
mprotect                                       28
